Date,Traffic source,Views
2022-05-28,Channel pages,0
2022-05-29,Channel pages,0
2022-05-30,Channel pages,0
2022-05-31,Channel pages,3
2022-06-01,Channel pages,2
2022-06-02,Channel pages,1
2022-06-03,Channel pages,11
2022-06-04,Channel pages,0
2022-06-05,Channel pages,0
2022-06-06,Channel pages,1
2022-06-07,Channel pages,0
2022-06-08,Channel pages,0
2022-06-09,Channel pages,0
2022-06-10,Channel pages,2
2022-06-11,Channel pages,0
2022-06-12,Channel pages,0
2022-06-13,Channel pages,1
2022-06-14,Channel pages,0
2022-06-15,Channel pages,3
2022-06-16,Channel pages,0
2022-06-17,Channel pages,1
2022-06-18,Channel pages,0
2022-06-19,Channel pages,0
2022-06-20,Channel pages,0
2022-06-21,Channel pages,0
2022-06-22,Channel pages,0
2022-06-23,Channel pages,0
2022-06-24,Channel pages,0
2022-06-25,Channel pages,0
2022-06-26,Channel pages,0
2022-06-27,Channel pages,0
2022-06-28,Channel pages,0
2022-06-29,Channel pages,0
2022-06-30,Channel pages,0
2022-07-01,Channel pages,0
2022-07-02,Channel pages,0
2022-07-03,Channel pages,2
2022-07-04,Channel pages,0
2022-07-05,Channel pages,0
2022-07-06,Channel pages,0
2022-07-07,Channel pages,1
2022-07-08,Channel pages,0
2022-07-09,Channel pages,0
2022-07-10,Channel pages,0
2022-07-11,Channel pages,0
2022-07-12,Channel pages,0
2022-07-13,Channel pages,1
2022-07-14,Channel pages,1
2022-07-15,Channel pages,11
2022-07-16,Channel pages,0
2022-07-17,Channel pages,1
2022-07-18,Channel pages,0
2022-07-19,Channel pages,0
2022-07-20,Channel pages,1
2022-07-21,Channel pages,1
2022-07-22,Channel pages,0
2022-07-23,Channel pages,1
2022-07-24,Channel pages,2
2022-07-25,Channel pages,0
2022-07-26,Channel pages,1
2022-07-27,Channel pages,1
2022-07-28,Channel pages,8
2022-07-29,Channel pages,0
2022-07-30,Channel pages,0
2022-07-31,Channel pages,1
2022-08-01,Channel pages,0
2022-08-02,Channel pages,2
2022-08-03,Channel pages,0
2022-08-04,Channel pages,2
2022-08-05,Channel pages,0
2022-08-06,Channel pages,5
2022-08-07,Channel pages,0
2022-08-08,Channel pages,0
2022-08-09,Channel pages,7
2022-08-10,Channel pages,0
2022-08-11,Channel pages,0
2022-08-12,Channel pages,1
2022-08-13,Channel pages,0
2022-08-14,Channel pages,9
2022-08-15,Channel pages,1
2022-08-16,Channel pages,3
2022-08-17,Channel pages,2
2022-08-18,Channel pages,2
2022-08-19,Channel pages,0
2022-08-20,Channel pages,0
2022-08-21,Channel pages,2
2022-08-22,Channel pages,0
2022-08-23,Channel pages,0
2022-08-24,Channel pages,0
2022-08-25,Channel pages,3
2022-08-26,Channel pages,1
2022-08-27,Channel pages,0
2022-08-28,Channel pages,3
2022-08-29,Channel pages,0
2022-08-30,Channel pages,3
2022-08-31,Channel pages,0
2022-09-01,Channel pages,0
2022-09-02,Channel pages,1
2022-09-03,Channel pages,0
2022-09-04,Channel pages,0
2022-09-05,Channel pages,0
2022-09-06,Channel pages,3
2022-09-07,Channel pages,0
2022-09-08,Channel pages,0
2022-09-09,Channel pages,0
2022-09-10,Channel pages,0
2022-09-11,Channel pages,0
2022-09-12,Channel pages,3
2022-09-13,Channel pages,1
2022-09-14,Channel pages,0
2022-09-15,Channel pages,0
2022-09-16,Channel pages,2
2022-09-17,Channel pages,0
2022-09-18,Channel pages,2
2022-09-19,Channel pages,7
2022-09-20,Channel pages,4
2022-09-21,Channel pages,1
2022-09-22,Channel pages,2
2022-09-23,Channel pages,1
2022-09-24,Channel pages,1
2022-09-25,Channel pages,2
2022-09-26,Channel pages,1
2022-09-27,Channel pages,2
2022-09-28,Channel pages,1
2022-09-29,Channel pages,1
2022-09-30,Channel pages,1
2022-10-01,Channel pages,0
2022-10-02,Channel pages,0
2022-10-03,Channel pages,2
2022-10-04,Channel pages,0
2022-10-05,Channel pages,0
2022-10-06,Channel pages,0
2022-10-07,Channel pages,1
2022-10-08,Channel pages,0
2022-10-09,Channel pages,1
2022-10-10,Channel pages,2
2022-10-11,Channel pages,2
2022-10-12,Channel pages,0
2022-10-13,Channel pages,1
2022-10-14,Channel pages,1
2022-10-15,Channel pages,0
2022-10-16,Channel pages,0
2022-10-17,Channel pages,4
2022-10-18,Channel pages,5
2022-10-19,Channel pages,7
2022-10-20,Channel pages,5
2022-10-21,Channel pages,2
2022-10-22,Channel pages,8
2022-10-23,Channel pages,0
2022-10-24,Channel pages,2
2022-10-25,Channel pages,7
2022-10-26,Channel pages,1
2022-10-27,Channel pages,5
2022-10-28,Channel pages,6
2022-10-29,Channel pages,1
2022-10-30,Channel pages,1
2022-10-31,Channel pages,3
2022-11-01,Channel pages,0
2022-11-02,Channel pages,4
2022-11-03,Channel pages,3
2022-11-04,Channel pages,0
2022-11-05,Channel pages,1
2022-11-06,Channel pages,0
2022-11-07,Channel pages,1
2022-11-08,Channel pages,2
2022-11-09,Channel pages,6
2022-11-10,Channel pages,2
2022-11-11,Channel pages,0
2022-11-12,Channel pages,9
2020-09-01,YouTube search,2
2020-09-02,YouTube search,3
2020-09-03,YouTube search,3
2020-09-04,YouTube search,0
2020-09-05,YouTube search,2
2020-09-06,YouTube search,0
2020-09-07,YouTube search,0
2020-09-08,YouTube search,1
2020-09-09,YouTube search,0
2020-09-10,YouTube search,0
2020-09-11,YouTube search,3
2020-09-12,YouTube search,0
2020-09-13,YouTube search,0
2020-09-14,YouTube search,2
2020-09-15,YouTube search,1
2020-09-16,YouTube search,1
2020-09-17,YouTube search,0
2020-09-18,YouTube search,0
2020-09-19,YouTube search,1
2020-09-20,YouTube search,4
2020-09-21,YouTube search,1
2020-09-22,YouTube search,3
2020-09-23,YouTube search,2
2020-09-24,YouTube search,3
2020-09-25,YouTube search,4
2020-09-26,YouTube search,0
2020-09-27,YouTube search,0
2020-09-28,YouTube search,4
2020-09-29,YouTube search,3
2020-09-30,YouTube search,0
2020-10-01,YouTube search,7
2020-10-02,YouTube search,3
2020-10-03,YouTube search,1
2020-10-04,YouTube search,1
2020-10-05,YouTube search,4
2020-10-06,YouTube search,0
2020-10-07,YouTube search,5
2020-10-08,YouTube search,0
2020-10-09,YouTube search,2
2020-10-10,YouTube search,1
2020-10-11,YouTube search,0
2020-10-12,YouTube search,1
2020-10-13,YouTube search,6
2020-10-14,YouTube search,4
2020-10-15,YouTube search,3
2020-10-16,YouTube search,3
2020-10-17,YouTube search,0
2020-10-18,YouTube search,3
2020-10-19,YouTube search,9
2020-10-20,YouTube search,5
2020-10-21,YouTube search,8
2020-10-22,YouTube search,10
2020-10-23,YouTube search,2
2020-10-24,YouTube search,2
2020-10-25,YouTube search,0
2020-10-26,YouTube search,2
2020-10-27,YouTube search,6
2020-10-28,YouTube search,10
2020-10-29,YouTube search,13
2020-10-30,YouTube search,8
2020-10-31,YouTube search,7
2020-11-01,YouTube search,4
2020-11-02,YouTube search,7
2020-11-03,YouTube search,1
2020-11-04,YouTube search,7
2020-11-05,YouTube search,2
2020-11-06,YouTube search,6
2020-11-07,YouTube search,2
2020-11-08,YouTube search,4
2020-11-09,YouTube search,5
2020-11-10,YouTube search,0
2020-11-11,YouTube search,4
2020-11-12,YouTube search,14
2020-11-13,YouTube search,8
2020-11-14,YouTube search,5
2020-11-15,YouTube search,4
2020-11-16,YouTube search,6
2020-11-17,YouTube search,8
2020-11-18,YouTube search,13
2020-11-19,YouTube search,9
2020-11-20,YouTube search,5
2020-11-21,YouTube search,0
2020-11-22,YouTube search,7
2020-11-23,YouTube search,9
2020-11-24,YouTube search,14
2020-11-25,YouTube search,13
2020-11-26,YouTube search,1
2020-11-27,YouTube search,3
2020-11-28,YouTube search,1
2020-11-29,YouTube search,4
2020-11-30,YouTube search,6
2020-12-01,YouTube search,7
2020-12-02,YouTube search,7
2020-12-03,YouTube search,4
2020-12-04,YouTube search,4
2020-12-05,YouTube search,0
2020-12-06,YouTube search,3
2020-12-07,YouTube search,5
2020-12-08,YouTube search,9
2020-12-09,YouTube search,9
2020-12-10,YouTube search,3
2020-12-11,YouTube search,9
2020-12-12,YouTube search,1
2020-12-13,YouTube search,2
2020-12-14,YouTube search,7
2020-12-15,YouTube search,7
2020-12-16,YouTube search,13
2020-12-17,YouTube search,3
2020-12-18,YouTube search,9
2020-12-19,YouTube search,2
2020-12-20,YouTube search,7
2020-12-21,YouTube search,5
2020-12-22,YouTube search,3
2020-12-23,YouTube search,1
2020-12-24,YouTube search,1
2020-12-25,YouTube search,0
2020-12-26,YouTube search,5
2020-12-27,YouTube search,0
2020-12-28,YouTube search,2
2020-12-29,YouTube search,3
2020-12-30,YouTube search,0
2020-12-31,YouTube search,0
2021-01-01,YouTube search,4
2021-01-02,YouTube search,0
2021-01-03,YouTube search,6
2021-01-04,YouTube search,1
2021-01-05,YouTube search,4
2021-01-06,YouTube search,8
2021-01-07,YouTube search,8
2021-01-08,YouTube search,4
2021-01-09,YouTube search,4
2021-01-10,YouTube search,14
2021-01-11,YouTube search,12
2021-01-12,YouTube search,7
2021-01-13,YouTube search,3
2021-01-14,YouTube search,3
2021-01-15,YouTube search,4
2021-01-16,YouTube search,0
2021-01-17,YouTube search,7
2021-01-18,YouTube search,2
2021-01-19,YouTube search,5
2021-01-20,YouTube search,7
2021-01-21,YouTube search,11
2021-01-22,YouTube search,9
2021-01-23,YouTube search,2
2021-01-24,YouTube search,4
2021-01-25,YouTube search,10
2021-01-26,YouTube search,6
2021-01-27,YouTube search,2
2021-01-28,YouTube search,5
2021-01-29,YouTube search,8
2021-01-30,YouTube search,0
2021-01-31,YouTube search,3
2021-02-01,YouTube search,3
2021-02-02,YouTube search,0
2021-02-03,YouTube search,2
2021-02-04,YouTube search,4
2021-02-05,YouTube search,3
2021-02-06,YouTube search,1
2021-02-07,YouTube search,4
2021-02-08,YouTube search,9
2021-02-09,YouTube search,7
2021-02-10,YouTube search,4
2021-02-11,YouTube search,10
2021-02-12,YouTube search,2
2021-02-13,YouTube search,8
2021-02-14,YouTube search,7
2021-02-15,YouTube search,3
2021-02-16,YouTube search,4
2021-02-17,YouTube search,5
2021-02-18,YouTube search,3
2021-02-19,YouTube search,2
2021-02-20,YouTube search,2
2021-02-21,YouTube search,3
2021-02-22,YouTube search,2
2021-02-23,YouTube search,15
2021-02-24,YouTube search,4
2021-02-25,YouTube search,2
2021-02-26,YouTube search,6
2021-02-27,YouTube search,0
2021-02-28,YouTube search,7
2021-03-01,YouTube search,2
2021-03-02,YouTube search,4
2021-03-03,YouTube search,4
2021-03-04,YouTube search,2
2021-03-05,YouTube search,3
2021-03-06,YouTube search,2
2021-03-07,YouTube search,1
2021-03-08,YouTube search,2
2021-03-09,YouTube search,0
2021-03-10,YouTube search,1
2021-03-11,YouTube search,1
2021-03-12,YouTube search,1
2021-03-13,YouTube search,2
2021-03-14,YouTube search,0
2021-03-15,YouTube search,4
2021-03-16,YouTube search,0
2021-03-17,YouTube search,3
2021-03-18,YouTube search,3
2021-03-19,YouTube search,4
2021-03-20,YouTube search,0
2021-03-21,YouTube search,2
2021-03-22,YouTube search,3
2021-03-23,YouTube search,3
2021-03-24,YouTube search,3
2021-03-25,YouTube search,2
2021-03-26,YouTube search,0
2021-03-27,YouTube search,1
2021-03-28,YouTube search,2
2021-03-29,YouTube search,2
2021-03-30,YouTube search,1
2021-03-31,YouTube search,3
2021-04-01,YouTube search,0
2021-04-02,YouTube search,0
2021-04-03,YouTube search,0
2021-04-04,YouTube search,1
2021-04-05,YouTube search,1
2021-04-06,YouTube search,3
2021-04-07,YouTube search,0
2021-04-08,YouTube search,0
2021-04-09,YouTube search,2
2021-04-10,YouTube search,0
2021-04-11,YouTube search,2
2021-04-12,YouTube search,2
2021-04-13,YouTube search,0
2021-04-14,YouTube search,1
2021-04-15,YouTube search,0
2021-04-16,YouTube search,5
2021-04-17,YouTube search,0
2021-04-18,YouTube search,0
2021-04-19,YouTube search,4
2021-04-20,YouTube search,8
2021-04-21,YouTube search,2
2021-04-22,YouTube search,6
2021-04-23,YouTube search,2
2021-04-24,YouTube search,1
2021-04-25,YouTube search,0
2021-04-26,YouTube search,2
2021-04-27,YouTube search,0
2021-04-28,YouTube search,2
2021-04-29,YouTube search,4
2021-04-30,YouTube search,1
2021-05-01,YouTube search,1
2021-05-02,YouTube search,0
2021-05-03,YouTube search,1
2021-05-04,YouTube search,0
2021-05-05,YouTube search,0
2021-05-06,YouTube search,0
2021-05-07,YouTube search,2
2021-05-08,YouTube search,0
2021-05-09,YouTube search,1
2021-05-10,YouTube search,4
2021-05-11,YouTube search,4
2021-05-12,YouTube search,1
2021-05-13,YouTube search,0
2021-05-14,YouTube search,1
2021-05-15,YouTube search,0
2021-05-16,YouTube search,4
2021-05-17,YouTube search,2
2021-05-18,YouTube search,2
2021-05-19,YouTube search,1
2021-05-20,YouTube search,3
2021-05-21,YouTube search,1
2021-05-22,YouTube search,0
2021-05-23,YouTube search,1
2021-05-24,YouTube search,7
2021-05-25,YouTube search,1
2021-05-26,YouTube search,5
2021-05-27,YouTube search,0
2021-05-28,YouTube search,2
2021-05-29,YouTube search,0
2021-05-30,YouTube search,3
2021-05-31,YouTube search,3
2021-06-01,YouTube search,1
2021-06-02,YouTube search,1
2021-06-03,YouTube search,0
2021-06-04,YouTube search,1
2021-06-05,YouTube search,4
2021-06-06,YouTube search,0
2021-06-07,YouTube search,3
2021-06-08,YouTube search,1
2021-06-09,YouTube search,4
2021-06-10,YouTube search,1
2021-06-11,YouTube search,1
2021-06-12,YouTube search,1
2021-06-13,YouTube search,3
2021-06-14,YouTube search,2
2021-06-15,YouTube search,1
2021-06-16,YouTube search,1
2021-06-17,YouTube search,1
2021-06-18,YouTube search,1
2021-06-19,YouTube search,0
2021-06-20,YouTube search,1
2021-06-21,YouTube search,0
2021-06-22,YouTube search,0
2021-06-23,YouTube search,0
2021-06-24,YouTube search,0
2021-06-25,YouTube search,0
2021-06-26,YouTube search,0
2021-06-27,YouTube search,0
2021-06-28,YouTube search,0
2021-06-29,YouTube search,2
2021-06-30,YouTube search,0
2021-07-01,YouTube search,0
2021-07-02,YouTube search,0
2021-07-03,YouTube search,0
2021-07-04,YouTube search,0
2021-07-05,YouTube search,0
2021-07-06,YouTube search,2
2021-07-07,YouTube search,0
2021-07-08,YouTube search,0
2021-07-09,YouTube search,0
2021-07-10,YouTube search,0
2021-07-11,YouTube search,1
2021-07-12,YouTube search,1
2021-07-13,YouTube search,0
2021-07-14,YouTube search,0
2021-07-15,YouTube search,1
2021-07-16,YouTube search,2
2021-07-17,YouTube search,0
2021-07-18,YouTube search,1
2021-07-19,YouTube search,0
2021-07-20,YouTube search,0
2021-07-21,YouTube search,0
2021-07-22,YouTube search,0
2021-07-23,YouTube search,0
2021-07-24,YouTube search,0
2021-07-25,YouTube search,0
2021-07-26,YouTube search,0
2021-07-27,YouTube search,0
2021-07-28,YouTube search,0
2021-07-29,YouTube search,0
2021-07-30,YouTube search,1
2021-07-31,YouTube search,1
2021-08-01,YouTube search,0
2021-08-02,YouTube search,0
2021-08-03,YouTube search,0
2021-08-04,YouTube search,0
2021-08-05,YouTube search,0
2021-08-06,YouTube search,0
2021-08-07,YouTube search,0
2021-08-08,YouTube search,0
2021-08-09,YouTube search,0
2021-08-10,YouTube search,0
2021-08-11,YouTube search,0
2021-08-12,YouTube search,0
2021-08-13,YouTube search,0
2021-08-14,YouTube search,1
2021-08-15,YouTube search,0
2021-08-16,YouTube search,1
2021-08-17,YouTube search,1
2021-08-18,YouTube search,1
2021-08-19,YouTube search,0
2021-08-20,YouTube search,2
2021-08-21,YouTube search,0
2021-08-22,YouTube search,0
2021-08-23,YouTube search,0
2021-08-24,YouTube search,0
2021-08-25,YouTube search,2
2021-08-26,YouTube search,2
2021-08-27,YouTube search,0
2021-08-28,YouTube search,2
2021-08-29,YouTube search,0
2021-08-30,YouTube search,1
2021-08-31,YouTube search,1
2021-09-01,YouTube search,2
2021-09-02,YouTube search,0
2021-09-03,YouTube search,1
2021-09-04,YouTube search,0
2021-09-05,YouTube search,1
2021-09-06,YouTube search,0
2021-09-07,YouTube search,0
2021-09-08,YouTube search,0
2021-09-09,YouTube search,0
2021-09-10,YouTube search,0
2021-09-11,YouTube search,0
2021-09-12,YouTube search,0
2021-09-13,YouTube search,1
2021-09-14,YouTube search,0
2021-09-15,YouTube search,1
2021-09-16,YouTube search,1
2021-09-17,YouTube search,1
2021-09-18,YouTube search,0
2021-09-19,YouTube search,3
2021-09-20,YouTube search,0
2021-09-21,YouTube search,2
2021-09-22,YouTube search,1
2021-09-23,YouTube search,1
2021-09-24,YouTube search,0
2021-09-25,YouTube search,0
2021-09-26,YouTube search,2
2021-09-27,YouTube search,0
2021-09-28,YouTube search,0
2021-09-29,YouTube search,1
2021-09-30,YouTube search,0
2021-10-01,YouTube search,2
2021-10-02,YouTube search,1
2021-10-03,YouTube search,0
2021-10-04,YouTube search,0
2021-10-05,YouTube search,5
2021-10-06,YouTube search,2
2021-10-07,YouTube search,0
2021-10-08,YouTube search,0
2021-10-09,YouTube search,0
2021-10-10,YouTube search,0
2021-10-11,YouTube search,0
2021-10-12,YouTube search,3
2021-10-13,YouTube search,1
2021-10-14,YouTube search,2
2021-10-15,YouTube search,1
2021-10-16,YouTube search,0
2021-10-17,YouTube search,0
2021-10-18,YouTube search,0
2021-10-19,YouTube search,4
2021-10-20,YouTube search,3
2021-10-21,YouTube search,0
2021-10-22,YouTube search,0
2021-10-23,YouTube search,1
2021-10-24,YouTube search,2
2021-10-25,YouTube search,1
2021-10-26,YouTube search,4
2021-10-27,YouTube search,4
2021-10-28,YouTube search,7
2021-10-29,YouTube search,8
2021-10-30,YouTube search,1
2021-10-31,YouTube search,1
2021-11-01,YouTube search,1
2021-11-02,YouTube search,0
2021-11-03,YouTube search,0
2021-11-04,YouTube search,1
2021-11-05,YouTube search,0
2021-11-06,YouTube search,1
2021-11-07,YouTube search,2
2021-11-08,YouTube search,4
2021-11-09,YouTube search,0
2021-11-10,YouTube search,1
2021-11-11,YouTube search,0
2021-11-12,YouTube search,2
2021-11-13,YouTube search,2
2021-11-14,YouTube search,0
2021-11-15,YouTube search,0
2021-11-16,YouTube search,0
2021-11-17,YouTube search,1
2021-11-18,YouTube search,0
2021-11-19,YouTube search,0
2021-11-20,YouTube search,2
2021-11-21,YouTube search,0
2021-11-22,YouTube search,2
2021-11-23,YouTube search,1
2021-11-24,YouTube search,2
2021-11-25,YouTube search,1
2021-11-26,YouTube search,0
2021-11-27,YouTube search,0
2021-11-28,YouTube search,0
2021-11-29,YouTube search,1
2021-11-30,YouTube search,0
2021-12-01,YouTube search,0
2021-12-02,YouTube search,4
2021-12-03,YouTube search,1
2021-12-04,YouTube search,0
2021-12-05,YouTube search,0
2021-12-06,YouTube search,1
2021-12-07,YouTube search,0
2021-12-08,YouTube search,2
2021-12-09,YouTube search,1
2021-12-10,YouTube search,1
2021-12-11,YouTube search,0
2021-12-12,YouTube search,0
2021-12-13,YouTube search,0
2021-12-14,YouTube search,0
2021-12-15,YouTube search,1
2021-12-16,YouTube search,0
2021-12-17,YouTube search,1
2021-12-18,YouTube search,0
2021-12-19,YouTube search,0
2021-12-20,YouTube search,1
2021-12-21,YouTube search,1
2021-12-22,YouTube search,0
2021-12-23,YouTube search,0
2021-12-24,YouTube search,2
2021-12-25,YouTube search,0
2021-12-26,YouTube search,0
2021-12-27,YouTube search,0
2021-12-28,YouTube search,0
2021-12-29,YouTube search,0
2021-12-30,YouTube search,0
2021-12-31,YouTube search,0
2022-01-01,YouTube search,2
2022-01-02,YouTube search,0
2022-01-03,YouTube search,0
2022-01-04,YouTube search,1
2022-01-05,YouTube search,1
2022-01-06,YouTube search,2
2022-01-07,YouTube search,0
2022-01-08,YouTube search,0
2022-01-09,YouTube search,1
2022-01-10,YouTube search,1
2022-01-11,YouTube search,1
2022-01-12,YouTube search,1
2022-01-13,YouTube search,1
2022-01-14,YouTube search,0
2022-01-15,YouTube search,0
2022-01-16,YouTube search,0
2022-01-17,YouTube search,2
2022-01-18,YouTube search,0
2022-01-19,YouTube search,0
2022-01-20,YouTube search,2
2022-01-21,YouTube search,0
2022-01-22,YouTube search,0
2022-01-23,YouTube search,0
2022-01-24,YouTube search,3
2022-01-25,YouTube search,1
2022-01-26,YouTube search,0
2022-01-27,YouTube search,1
2022-01-28,YouTube search,0
2022-01-29,YouTube search,2
2022-01-30,YouTube search,1
2022-01-31,YouTube search,1
2022-02-01,YouTube search,2
2022-02-02,YouTube search,2
2022-02-03,YouTube search,0
2022-02-04,YouTube search,1
2022-02-05,YouTube search,0
2022-02-06,YouTube search,0
2022-02-07,YouTube search,2
2022-02-08,YouTube search,0
2022-02-09,YouTube search,1
2022-02-10,YouTube search,1
2022-02-11,YouTube search,1
2022-02-12,YouTube search,0
2022-02-13,YouTube search,0
2022-02-14,YouTube search,0
2022-02-15,YouTube search,0
2022-02-16,YouTube search,1
2022-02-17,YouTube search,2
2022-02-18,YouTube search,0
2022-02-19,YouTube search,1
2022-02-20,YouTube search,0
2022-02-21,YouTube search,1
2022-02-22,YouTube search,0
2022-02-23,YouTube search,1
2022-02-24,YouTube search,0
2022-02-25,YouTube search,1
2022-02-26,YouTube search,1
2022-02-27,YouTube search,0
2022-02-28,YouTube search,0
2022-03-01,YouTube search,0
2022-03-02,YouTube search,0
2022-03-03,YouTube search,0
2022-03-04,YouTube search,0
2022-03-05,YouTube search,0
2022-03-06,YouTube search,0
2022-03-07,YouTube search,0
2022-03-08,YouTube search,0
2022-03-09,YouTube search,0
2022-03-10,YouTube search,1
2022-03-11,YouTube search,0
2022-03-12,YouTube search,2
2022-03-13,YouTube search,0
2022-03-14,YouTube search,1
2022-03-15,YouTube search,0
2022-03-16,YouTube search,0
2022-03-17,YouTube search,0
2022-03-18,YouTube search,0
2022-03-19,YouTube search,0
2022-03-20,YouTube search,0
2022-03-21,YouTube search,6
2022-03-22,YouTube search,0
2022-03-23,YouTube search,1
2022-03-24,YouTube search,0
2022-03-25,YouTube search,0
2022-03-26,YouTube search,0
2022-03-27,YouTube search,0
2022-03-28,YouTube search,1
2022-03-29,YouTube search,1
2022-03-30,YouTube search,0
2022-03-31,YouTube search,0
2022-04-01,YouTube search,0
2022-04-02,YouTube search,1
2022-04-03,YouTube search,3
2022-04-04,YouTube search,0
2022-04-05,YouTube search,0
2022-04-06,YouTube search,1
2022-04-07,YouTube search,0
2022-04-08,YouTube search,0
2022-04-09,YouTube search,0
2022-04-10,YouTube search,0
2022-04-11,YouTube search,0
2022-04-12,YouTube search,0
2022-04-13,YouTube search,1
2022-04-14,YouTube search,0
2022-04-15,YouTube search,0
2022-04-16,YouTube search,1
2022-04-17,YouTube search,0
2022-04-18,YouTube search,2
2022-04-19,YouTube search,3
2022-04-20,YouTube search,1
2022-04-21,YouTube search,2
2022-04-22,YouTube search,1
2022-04-23,YouTube search,1
2022-04-24,YouTube search,0
2022-04-25,YouTube search,4
2022-04-26,YouTube search,3
2022-04-27,YouTube search,5
2022-04-28,YouTube search,2
2022-04-29,YouTube search,1
2022-04-30,YouTube search,1
2022-05-01,YouTube search,0
2022-05-02,YouTube search,1
2022-05-03,YouTube search,3
2022-05-04,YouTube search,0
2022-05-05,YouTube search,1
2022-05-06,YouTube search,5
2022-05-07,YouTube search,3
2022-05-08,YouTube search,2
2022-05-09,YouTube search,0
2022-05-10,YouTube search,1
2022-05-11,YouTube search,2
2022-05-12,YouTube search,0
2022-05-13,YouTube search,0
2022-05-14,YouTube search,3
2022-05-15,YouTube search,1
2022-05-16,YouTube search,1
2022-05-17,YouTube search,1
2022-05-18,YouTube search,0
2022-05-19,YouTube search,1
2022-05-20,YouTube search,0
2022-05-21,YouTube search,1
2022-05-22,YouTube search,0
2022-05-23,YouTube search,0
2022-05-24,YouTube search,3
2022-05-25,YouTube search,0
2022-05-26,YouTube search,3
2022-05-27,YouTube search,0
2022-05-28,YouTube search,1
2022-05-29,YouTube search,0
2022-05-30,YouTube search,0
2022-05-31,YouTube search,4
2022-06-01,YouTube search,0
2022-06-02,YouTube search,1
2022-06-03,YouTube search,2
2022-06-04,YouTube search,0
2022-06-05,YouTube search,0
2022-06-06,YouTube search,0
2022-06-07,YouTube search,1
2022-06-08,YouTube search,2
2022-06-09,YouTube search,0
2022-06-10,YouTube search,0
2022-06-11,YouTube search,2
2022-06-12,YouTube search,2
2022-06-13,YouTube search,2
2022-06-14,YouTube search,2
2022-06-15,YouTube search,1
2022-06-16,YouTube search,1
2022-06-17,YouTube search,2
2022-06-18,YouTube search,0
2022-06-19,YouTube search,1
2022-06-20,YouTube search,2
2022-06-21,YouTube search,1
2022-06-22,YouTube search,1
2022-06-23,YouTube search,1
2022-06-24,YouTube search,0
2022-06-25,YouTube search,0
2022-06-26,YouTube search,0
2022-06-27,YouTube search,0
2022-06-28,YouTube search,0
2022-06-29,YouTube search,0
2022-06-30,YouTube search,0
2022-07-01,YouTube search,0
2022-07-02,YouTube search,1
2022-07-03,YouTube search,0
2022-07-04,YouTube search,0
2022-07-05,YouTube search,1
2022-07-06,YouTube search,4
2022-07-07,YouTube search,1
2022-07-08,YouTube search,1
2022-07-09,YouTube search,1
2022-07-10,YouTube search,1
2022-07-11,YouTube search,1
2022-07-12,YouTube search,0
2022-07-13,YouTube search,2
2022-07-14,YouTube search,1
2022-07-15,YouTube search,0
2022-07-16,YouTube search,2
2022-07-17,YouTube search,1
2022-07-18,YouTube search,2
2022-07-19,YouTube search,1
2022-07-20,YouTube search,2
2022-07-21,YouTube search,2
2022-07-22,YouTube search,1
2022-07-23,YouTube search,0
2022-07-24,YouTube search,3
2022-07-25,YouTube search,4
2022-07-26,YouTube search,2
2022-07-27,YouTube search,2
2022-07-28,YouTube search,1
2022-07-29,YouTube search,6
2022-07-30,YouTube search,2
2022-07-31,YouTube search,0
2022-08-01,YouTube search,3
2022-08-02,YouTube search,3
2022-08-03,YouTube search,3
2022-08-04,YouTube search,1
2022-08-05,YouTube search,1
2022-08-06,YouTube search,1
2022-08-07,YouTube search,3
2022-08-08,YouTube search,4
2022-08-09,YouTube search,0
2022-08-10,YouTube search,5
2022-08-11,YouTube search,4
2022-08-12,YouTube search,4
2022-08-13,YouTube search,3
2022-08-14,YouTube search,4
2022-08-15,YouTube search,1
2022-08-16,YouTube search,2
2022-08-17,YouTube search,3
2022-08-18,YouTube search,3
2022-08-19,YouTube search,0
2022-08-20,YouTube search,3
2022-08-21,YouTube search,0
2022-08-22,YouTube search,0
2022-08-23,YouTube search,6
2022-08-24,YouTube search,3
2022-08-25,YouTube search,1
2022-08-26,YouTube search,4
2022-08-27,YouTube search,2
2022-08-28,YouTube search,2
2022-08-29,YouTube search,2
2022-08-30,YouTube search,1
2022-08-31,YouTube search,7
2022-09-01,YouTube search,8
2022-09-02,YouTube search,2
2022-09-03,YouTube search,3
2022-09-04,YouTube search,4
2022-09-05,YouTube search,0
2022-09-06,YouTube search,9
2022-09-07,YouTube search,1
2022-09-08,YouTube search,2
2022-09-09,YouTube search,5
2022-09-10,YouTube search,1
2022-09-11,YouTube search,1
2022-09-12,YouTube search,4
2022-09-13,YouTube search,0
2022-09-14,YouTube search,1
2022-09-15,YouTube search,1
2022-09-16,YouTube search,2
2022-09-17,YouTube search,2
2022-09-18,YouTube search,1
2022-09-19,YouTube search,3
2022-09-20,YouTube search,11
2022-09-21,YouTube search,4
2022-09-22,YouTube search,1
2022-09-23,YouTube search,13
2022-09-24,YouTube search,2
2022-09-25,YouTube search,4
2022-09-26,YouTube search,6
2022-09-27,YouTube search,3
2022-09-28,YouTube search,11
2022-09-29,YouTube search,10
2022-09-30,YouTube search,5
2022-10-01,YouTube search,1
2022-10-02,YouTube search,1
2022-10-03,YouTube search,5
